"test_id","status","test_group","query","expected_dataset_id","expected_context_layer","expected_dataset_parameters","expected_nudge_type","expected_nudge_options","expected_text","expected_forbidden_tools","difficulty","behaviour","lineage","verified"
"ch-map-097","ready","tcl-drivers","Show where tree cover loss came from agriculture, logging or wildfire","8","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","medium","select","","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-098","ready","tcl-drivers","Show tree cover loss caused by permanent agriculture and hard commodities","8","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","medium","select","","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-099","ready","tcl-drivers","Map the dominant causes of forest loss","8","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","medium","select","","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-100","ready","tcl-drivers","Show me which tree loss was from shifting cultivation","8","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","medium","select","","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-101","ready","tcl-drivers","deforestation drivers map","8","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","hard","select","loose 'deforestation' plus driver","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-102","ready","tcl-drivers","what's killing the trees, show me","8","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","hard","select","colloquial","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-103","ready","tcl-drivers","driver layer","8","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","hard","select","very short","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-104","ready","tcl-drivers","commodity driven deforestation","8","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","hard","select","jargon","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-105","ready","tcl-fires","Show tree cover loss due to fires on the map","10","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","easy","select","","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-106","ready","tcl-fires","Display tree cover loss from fires","10","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","easy","select","","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-107","ready","tcl-fires","Show me where fires caused tree cover loss","10","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","easy","select","","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-108","ready","tcl-fires","Put fire-related tree cover loss on the map","10","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","easy","select","","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-109","ready","tcl-fires","Map tree cover loss from fires versus other causes","10","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","medium","select","","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-110","ready","tcl-fires","Show forest loss caused by wildfires","10","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","medium","select","","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-111","ready","tcl-fires","Show where trees were lost to burning","10","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","medium","select","","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-112","ready","tcl-fires","Show fire-driven tree cover loss at 50% canopy density","10","","[{""name"":""canopy_cover"",""values"":[50]}]","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","medium","select","explicit canopy (jev canopy question)","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-113","ready","tcl-fires","Map annual tree loss from fires","10","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","medium","select","","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-114","ready","tcl-fires","burn scars in forests","10","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","hard","select","remote-sensing jargon","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-115","ready","tcl-fires","fire loss layer","10","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","hard","select","short","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-116","ready","tcl-fires","trees lost to fire","10","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","hard","select","short","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-117","ready","tcl-fires","wildfire tree los","10","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","hard","select","typo","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-118","ready","integrated-alerts","Show integrated alerts on the map","11","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","easy","select","","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-119","ready","integrated-alerts","Display deforestation alerts on the map","11","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","easy","select","","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-120","ready","integrated-alerts","Show me forest disturbance alerts","11","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","easy","select","","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-121","ready","integrated-alerts","Put disturbance alerts on the map","11","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","easy","select","","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-122","ready","integrated-alerts","Map near-real-time vegetation disturbance alerts","11","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","medium","select","","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-123","ready","integrated-alerts","Show high-confidence clearing alerts","11","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","medium","select","","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-124","ready","integrated-alerts","Show me the latest deforestation alerts","11","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","medium","select","relative 'latest'; dates deliberately unscored","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-125","ready","integrated-alerts","Map alerts that combine GLAD and RADD","11","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","medium","select","","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-126","ready","integrated-alerts","Show recent tree clearing alerts","11","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","medium","select","","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-127","ready","integrated-alerts","GLAD alerts","11","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","hard","select","jargon: component system","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-128","ready","integrated-alerts","RADD","11","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","hard","select","acronym only","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-129","ready","integrated-alerts","defor alerts","11","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","hard","select","abbreviation","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-130","ready","integrated-alerts","show clearing alerts asap","11","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","hard","select","colloquial","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-131","ready","multilingual","Muéstrame las alertas de deforestación en el mapa","11","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","easy","select","lang=es","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-132","ready","multilingual","Muestra la ganancia de cobertura arbórea en el mapa","5","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","easy","select","lang=es","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-133","ready","multilingual","Muéstrame en el mapa las causas de la pérdida de cobertura arbórea","8","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","medium","select","lang=es","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-134","ready","multilingual","Muestra la pérdida de bosque primario en el mapa","4","primary_forest","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","medium","select","lang=es; context layer asked explicitly","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-135","ready","multilingual","pon en el mapa los arboles perdidos por incendios","10","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","hard","select","lang=es","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-136","ready","multilingual","Mostre a cobertura do solo no mapa","1","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","easy","select","lang=pt","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-137","ready","multilingual","Mostre a cobertura arbórea no mapa","7","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","easy","select","lang=pt","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-138","ready","multilingual","Mostre no mapa as terras naturais e não naturais","3","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","medium","select","lang=pt","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-139","ready","multilingual","Mostre a perda de floresta primária no mapa","4","primary_forest","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","medium","select","lang=pt; context layer asked explicitly","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-140","ready","multilingual","mapa do fluxo liquido de gases de efeito estufa das florestas","6","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","hard","select","lang=pt","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-141","ready","multilingual","Affiche la perte de couvert arboré sur la carte","4","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","easy","select","lang=fr","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-142","ready","multilingual","Montre-moi l'occupation du sol sur la carte","1","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","easy","select","lang=fr","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-143","ready","multilingual","Affiche le flux net de gaz à effet de serre des forêts sur la carte","6","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","medium","select","lang=fr","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-144","ready","multilingual","Montre la densité du couvert arboré sur la carte","7","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","medium","select","lang=fr","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-145","ready","multilingual","prairies naturelles sur la carte stp","2","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","hard","select","lang=fr","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-146","ready","multilingual","Tampilkan kehilangan tutupan pohon di peta","4","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","easy","select","lang=id","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-147","ready","multilingual","Tampilkan peringatan deforestasi di peta","11","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","easy","select","lang=id","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-148","ready","multilingual","Tampilkan penyebab hilangnya tutupan pohon di peta","8","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","medium","select","lang=id","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-149","ready","multilingual","Tampilkan kehilangan tutupan pohon akibat kebakaran di peta","10","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","medium","select","lang=id","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-150","ready","multilingual","peta lahan alami vs non alami","3","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","hard","select","lang=id","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-151","ready","multilingual","Nionyeshe tahadhari za ukataji miti kwenye ramani","11","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","easy","select","lang=sw","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-152","ready","multilingual","Onyesha kifuniko cha ardhi kwenye ramani","1","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","easy","select","lang=sw","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-153","ready","multilingual","Nionyeshe nyasi asilia kwenye ramani","2","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","medium","select","lang=sw","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-154","ready","multilingual","Onyesha ongezeko la miti kwenye ramani","5","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","medium","select","lang=sw","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-155","ready","multilingual","sababu za kupotea kwa miti, ramani","8","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","hard","select","lang=sw","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-156","ready","context-layer","Show primary forest loss on the map","4","primary_forest","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","easy","select","explicit primary forest","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-157","ready","context-layer","Map tree cover loss inside primary forests","4","primary_forest","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","medium","select","explicit primary forest","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-158","ready","context-layer","old-growth rainforest loss on the map","4","primary_forest","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","hard","select","old-growth as a synonym for primary","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-159","ready","context-layer","Show tree cover loss in intact forest landscapes on the map","4","intact_forest","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","easy","select","explicit IFL","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-160","ready","context-layer","Map where intact forests are being lost","4","intact_forest","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","medium","select","explicit IFL, loose","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-161","ready","context-layer","IFL loss layer pls","4","intact_forest","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","hard","select","acronym","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-162","ready","context-layer","Show fire-driven tree cover loss in primary forests on the map","10","primary_forest","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","medium","select","fires x primary","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-163","ready","context-layer","burnt primary forest map","10","primary_forest","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","hard","select","fires x primary, short","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-164","ready","context-layer","Show tree cover loss from fires within intact forest landscapes","10","intact_forest","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","medium","select","fires x IFL","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-165","ready","context-layer","map fire loss in IFLs","10","intact_forest","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","hard","select","fires x IFL, acronym","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-166","ready","context-layer","Show tree cover within primary forests on the map","7","primary_forest","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","medium","select","extent x primary; note tree_cover.yml primary_forest description says 'Shows loss within' (catalog defect)","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-167","ready","context-layer","Where is the primary forest? Put it on the map","7;4","primary_forest","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","hard","select","extent ask; TCL with the primary layer also draws primary forest; catalog defect as above","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-168","ready","context-layer","Show all tree cover loss on the map, including plantations and secondary forest","4","no_selection","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","medium","select","explicit opt-out of the primary default","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-169","ready","context-layer","Map tree cover loss from fires across all tree cover, not just primary forest","10","no_selection","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","medium","select","explicit opt-out","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-170","ready","context-layer","Show tree cover density for all trees, plantations included","7","no_selection","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","medium","select","explicit opt-out","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-171","ready","ambiguous","Show me deforestation","4;11","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","hard","select","loss (TCL) or alerts; both defensible","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-172","ready","ambiguous","Show me forests on the map","7;3;1","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","medium","select","tree cover, SBTN natural forest or land cover tree class","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-173","ready","ambiguous","Show carbon on the map","6;4","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","hard","select","flux or TCL emissions","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-174","ready","ambiguous","Show fires on the map","10;no_selection","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","medium","select","fire-driven TCL, or decline: no active-fire dataset","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-175","ready","ambiguous","Show urban areas on the map","","","","dataset_choice","Global land cover;SBTN","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","medium","nudge","GOLD nudge precedent (urban land cover: land cover vs SBTN)","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-176","ready","ambiguous","Show wetlands on the map","1;3","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","medium","select","land cover wetland class or SBTN wetland natural forest","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-177","ready","ambiguous","Show land use on the map","1;3","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","medium","select","land cover or natural/non-natural","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-178","ready","ambiguous","Show plantations on the map","3","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","medium","select","only SBTN separates non-natural tree cover; tree cover includes plantations undistinguished","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-179","ready","ambiguous","Show savannas on the map","2;1","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","medium","select","grasslands covers savannas; land cover short vegetation","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-180","ready","ambiguous","Show clearing on the map","11;4","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","hard","select","alerts or loss","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-181","ready","ambiguous","Show forest change on the map","","","","dataset_choice","Tree cover loss;Tree cover gain;Global land cover","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","medium","nudge","loss, gain or land cover change; genuinely open","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-182","ready","ambiguous","Show mangroves on the map","3","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","medium","select","SBTN Mangrove class; no other dataset has it","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-183","ready","ambiguous","Show cropland on the map","1;3","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","medium","select","both carry a crop class","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-184","ready","ambiguous","Show emissions on the map","","","","dataset_choice","Forest greenhouse gas net flux;Tree cover loss","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","hard","nudge","flux or TCL emissions; sLUC is not mappable so not an acceptable option","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-185","ready","ambiguous","Show grass on the map","","","","dataset_choice","Global natural/semi-natural grassland extent;Global land cover","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","hard","nudge","natural grassland vs cultivated grassland class (GOLD loose-grassland rule)","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-186","ready","unmappable","Show crop deforestation emission factors on the map","9;no_selection","","","","","Explains that the crop deforestation emission factors are tabular data that cannot be displayed as a map layer. Offering a chart or table of the same data is fine; presenting a different dataset as if it showed these emission factors is not","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","easy","decline","sLUC: tabular only","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
